text,intent
حدد اي من الخيارات هو الحجه الرييسيه للمقطع في السنوات الاخيره ، اصبح استخدام الذكاء الاصطناعي منتشرا بشكل متزايد يتم استخدام الذكاء الاصطناعي لاتمته العمليات وزياده الكفاءه وزياده الابتكار في العديد من الصناعات     ا اصبح الذكاء الاصطناعي سريعا جزءا اساسيا من الاقتصاد الرقمي   ب يساعد الذكاء الاصطناعي في دفع نمو الاعمال الرقميه   ج يخلق الذكاء الاصطناعي فرصا جديده للشركات في المساحات الرقميه   د اصبح الذكاء الاصطناعي ضروريا ل رقمنه العمليات التجاريه,payment_issue
لو سمحت ليش النت بضل يعلق ويقطع؟ هالفتره,slow_internet
اخرج العنصر الثالث والسابع من القايمه التاليه  ،  ،  ،  ،  ،  ،  ،,other
اريد الشبكه تفصل علي رقمي,network_complaint
محتاج مساعده بخصوص اهلين من كم ساعه,greeting
بدي متي بتنتهي الباقه عندي بعد الشحن اليوم,payment_issue
اريد اعرف كيف احول رصيد من مبارح,balance_transfer
محتاج هل الشبكه شغال في منطقتي؟,network_complaint
اريد الشبكه سييه في منطقتي,network_complaint
لو سمحت انترنت ضعيف لو سمحت,slow_internet
اعثر علي اثنين من الادله التي تدعم عباره ادي استخدام التكنولوجيا الي تحسين سرعه الاتصال,network_complaint
عندما اشحن الخط احيانا يرسلون ان الخط يفصل بوقت معين مبكرا اقل من شهر  فاتصل عليهم فيقولون انه بعد شهر فبذلك التاريخ الذي بالرساله غير دقيق  مشكله عند شحن الخط احيانا تحدث مشكله ببيانات الهاتفالنت ولا يفعل النت بسرعه,payment_issue
حاب اعرف اريد تجديد الاشتراك علي رقمي؟,renew_package
بدي الخدمه سييه في منطقتي لو سمحت,network_complaint
ليش الشحن ما تفعل من الصبح من مبارح,payment_issue
واش يمكن نحط الفلوس بالجنيه البريطاني؟,balance_transfer
حاب اعرف ما في شبكه في الشغل,network_complaint
اريد كم باقي من الباقه يوجد منطقتي لو سمحت,check_data_usage
من فضلك كيف اغير الباقه في الشغل؟,renew_package
ليش الشبكه تختفي فجاه اليوم من فضلك,no_signal
ليس هي الباقات الجديد؟ متي سينتهي اشتراكي الشهر؟ لماذا الانترنت ضعيف؟ من الصبح,offer_inquiry
بدي اعرف اريد تفاصيل الاشتراك في منطقتي؟,offer_inquiry
عندي مع السلامه من امس,goodbye
بدي مع السلامهه بسرعه,goodbye
اضف فاصله بعد كل فقره في الجمله كانت تدرس طوال اليوم وهي منهكه,other
لو سمحت كم استهلكت من الباقه في الشغل؟,check_data_usage
ساعدني بدي اشترك بباقه جديده حاليا,renew_package
بدي ما عم يلقط شبكه؟,no_signal
اريد في شكوي علي الشبكه يوجد منطقتي؟,network_complaint
من فضلك لا توجد اشاره حاليا؟,no_signal
ممكن لا توجد اشاره هالفتره؟,no_signal
ليش الشبكه ضعيفه فيه منطقتي؟ من الصبح,slow_internet
لا توجد اشاره بعد التجديد,no_signal
اريد كيف احول رصيد يوجد البيت لو سمحت,balance_transfer
لو سمحت ليش ما استقبل مكالمات علي خطي؟ اليوم,no_signal
بدي اعرف مشاكل تحويل الرصيد من مبارح؟,balance_transfer
ساعدني اريد تجديد الاشتراك من الصبح,renew_package
من فضلك ساعدني بالمشكله حاليا,technical_support
اريد اعرف ليس حاله الشبكه حاليا؟,network_status
اكتب اغنيه تذكرنا بلون معين اللون البنفسجي,other
كيف افعل الباقه بعد الشحن؟ بسرعه,renew_package
لو سمحت كيف احول رصيد من الصبح؟ هالفتره,balance_transfer
اريد اعرف اريد اعرف المتبقي من الباقه علي رقمي,check_data_usage
ساعدني ليش الشحن ما تفعل علي خطي اليوم,payment_issue
بدي وداعا هالفتره,goodbye
اريد كيف اعرف الرصيد المتبقي في منطقتي,check_data_usage
اريد كم باقي من الباقه من الصبح,check_data_usage
لو سمحت خطي خارج الخدمه في الشغل,no_signal
مزبطش يخلص التحويل، مش مقبول,balance_transfer
اسيله تتعلق في مده الباقه هل يوجد باقه مدتها اطول؟ من مبارح,offer_inquiry
كيف يمكن لشخص ما استخدام التعلم الالي لتحديد الاخبار المزيفه؟,other
اريد هل في عروض جديده للانترنت هالفتره بسرعه,offer_inquiry
بدي الاستفسار عن ضعف او انقطاع الانترنت,slow_internet
محتاج مشكله فيه الدفع علي خطي؟,payment_issue
ليش الشبكه بطيء رغم وجود تغطيه علي خطي من الصبح,slow_internet
ممكن اعرف محتاج مساعده تقنيه في الشغل,technical_support
لو سمحت ليش الشحن ما تفعل علي خطي هالفتره,payment_issue
صمم وظيفه لتطبيق ويب تحسب التكلفه الاجماليه لعدد معين من العناصر العناصر الاسم كرسي ، الكميه  ، السعر  ، الاسم الجدول ، الكميه  ، السعر  ، الاسم المصباح ، الكميه  ، السعر,offer_inquiry
محتاج شو وضع الشبكه من الصبح,network_status
هلو,greeting
الانترنت بطيء جدا الان,slow_internet
ساعدني الانترنت يفصل كثير من مبارح؟,network_complaint
استفسار سرعه النت ضعيفه من فضلك,slow_internet
اكتب جمله واحده مريحه لشخص رسب للتو في الامتحان,other
عندي سوال عن رسوم سحب المصاري,payment_issue
هل في عروض جديده للانترنت هالفتره بسرعه,offer_inquiry
اريد لماذا لا يمكن الاتصال بي احيانا اليوم,no_signal
حاب اعرف اريد احول رصيد لرقم ثاني من مبارح,balance_transfer
ليش النت ضعيف في البيت؟ فيه منطقتي,slow_internet
لا توجد اشاره هالفتره,no_signal
حاب اعرف كم بقي من الجيجا فيه منطقتي,other
بدي اعرف اريد معرفه استهلاك الانترنت في منطقتي؟,check_data_usage
بدي استفسر عن مرحبا,greeting
بدي اريد تجديد الاشتراك في البيت؟,renew_package
ليش الباقه تخلص بسرعه في البيت من مبارح,check_data_usage
بدي شو سبب ضعف الشبكه في البيت بعد الشحن من فضلك,payment_issue
من فضلك البطاقه مرفوضه في منطقتي,payment_issue
لو سمحت ليش ما اقدر اتصل بدون سبب واضح؟,no_signal
فرز البلدان المعروضه التاليه حسب الناتج المحلي الاجمالي جنوب افريقيا ، بيرو ، الهند,offer_inquiry
لماذا تم رفض دفعتي ، ما السبب ؟,payment_issue
بس استفسار عن شحن الخط حاليا,payment_issue
كم سعر التجوال فيه الامارات؟,offer_inquiry
شوفي عروض او ميزات في الشغل,offer_inquiry
ما هي افضل طريقه لتحسين اداء الشبكه العصبيه؟,network_complaint
اريد لماذا الاتصال غير مستقر هالفتره الان,network_complaint
ساعدني كيف وضع الشبكه اليوم علي خطي؟,network_status
استفسار لماذا الانترنت ضعيف او بطيء من فضلك,slow_internet
لو سمحت هل يوجد عروض جديده للانترنت يوجد البيت,offer_inquiry
ساعدني ما حاله الشبكه يوجد منطقتي؟,network_status
ساعدني ليس حاله الشبكه هالفتره؟,network_status
اريد تجديد الاشتراك من امس,renew_package
من فضلك الشبكه ليس جيد اليوم,network_complaint
بدي اعرف الخدمه ضعيفه من الصبح,network_complaint
كيف اعرف استهلاك الانترنت فيه البيت فيه الشغل,check_data_usage
اشرح لماذا هذه الجمله خاطيه كل التقنيات تساعدنا علي البقاء علي اتصال,network_complaint
بدي كيف افعل الباقه بعد الشحن علي خطي,renew_package
محتاج ما بستقبل مكالمات في الشغل,no_signal
صنف الاستعلام التالي كاحد المواضيع التاليه  عرض المنتج؛  الدفع والفواتير  التسليم والشحن ؛  الحساب والاشتراك  مشكله فنيه احاول ربط حسابي بالموقع الالكتروني ولكني ما زلت اتلقي رساله خطا,payment_issue
ليش الشبكه ضعيفه من الصبح؟ من مبارح,network_complaint
العروض حاليا,offer_inquiry
بدي اعرف مو قدرت ادفع الفاتوره؟,payment_issue
لو سمحت عندي اهلا علي خطي,greeting
لو سمحت عندي مع السلامه من اسبوع,goodbye
لو سمحت عندي هاي حاليا,greeting
بدي اعرف هل النت شغال في منطقتي؟,network_status
لو سمحت اريد الدعم الفني في منطقتي,technical_support
بدي مشكله في الدفع من فضلك,payment_issue
اريد الفيديو يقطع بسبب النت في الشغل؟,slow_internet
استفسار ليه في تقطيع بساعات معينه من اليوم اليوم,slow_internet
من فضلك الشبكه مو سريع حاليا؟,network_complaint
معلومات عن خدمه التجوال,offer_inquiry
استفسار مشكله تقنيه هالفتره,technical_support
بدي اعرف الشبكه مو سريع من الصبح,network_complaint
هل في عروض جديده للانترنت من الصبح اليوم,offer_inquiry
لو سمحت تصبح علي خير لو سمحت,goodbye
كيف افعل الباقه بعد الشحن في الشغل,renew_package
احتاج دعم فني هالفتره,technical_support
قم بتسميه خمسه مواقع مختلفه تقدم بثا مباشرا للافلام والعروض,offer_inquiry
لو سمحت ليش نت ضعيف اليوم,slow_internet
قم بازاله التكرار في اسم الشبكه مجاني واي فاي,network_complaint
ساعدني ليش الباقه تخلص بسرعه مع ان الاشاره كامله من فضلك,check_data_usage
ليش الانترنت يفصل رغم اني جددت الباقه؟ في البيت,slow_internet
هل في عروض جديده للانترنت هالفتره هالفتره,offer_inquiry
ساعدني العروض والباقات المتوفره من مبارح,offer_inquiry
اريد هل في عروض جديده اليوم,offer_inquiry
كيف اغير الباقه علي خطي من الصبح,renew_package
تم تحميلي رسوم مرتين,payment_issue
استفسار كيف احول رصيد علي خطي هالفتره,balance_transfer
لماذا تم رفض تعبيه الرصيد الخاص بي؟,payment_issue
ليييييششششششش الانترنت ميييييييييتتتتتتتتتتت هالفتره,slow_internet
ليش الشبكه ضعيفه و وين افضل مكان بتكون الشبكه فيه اقوي شي في البيت,network_complaint
لو سمحت انقطاع النت ضعيف لو سمحت,slow_internet
لو سمحت ما عم يلقط شبكه في منطقتي؟,network_complaint
محتاج مساعده بخصوص مرحبا علي خطي,greeting
ممكن اعرف الخدمه سييه في منطقتي في منطقتي؟,network_complaint
تجديد الباقه,renew_package
ماذا سعر الصرف بين العملات ، و بقدر اتاكد عشان اعرف اذا كان في الي خصومات فاتحه هسا؟,offer_inquiry
ممكن الشبكه غير مستقره في منطقتي,network_complaint
اريد في مشكله بالفاتوره؟,payment_issue
ساعدني كم باقي من الانترنت هالفتره؟,check_data_usage
استفسار كيف اجدد الباقه علي خطي لو سمحت,renew_package
حدد نقطه سعر العنصر القطعه,offer_inquiry
شو سبب ضعف الشبكه في البيت بعد الشحن من مبارح,network_complaint
هل الخدمه شغاله هالفتره,network_status
لو سمحت اريد تفاصيل الاشتراك علي رقمي,offer_inquiry
بدي حل ل مرحباا طول اليوم,greeting
اريد هل في عروض جديده في البيت,offer_inquiry
انقطاع الشبكه بطء الانترنت هالفتره,no_signal
لو سمحت عندي باي من يومين,goodbye
اريد ما هي عروض الانترنت حاليا؟,offer_inquiry
هل الخدمه شغاله حاليا,network_status
بدي هل الشبكه تعمل الان لو سمحت,network_status
بدي اعرف اريد تحويل رصيد اليوم,balance_transfer
كنت بستخدم عمله اجنبيه لادفع دفعه ماليه بس تم تطبيق سعر تصريف غلط,payment_issue
ممكن جددلي الباقه؟,renew_package
استفسار هل يوجد عروض جديده للانترنت علي خطي من فضلك,offer_inquiry
مرحبا ممكن مساعده,greeting
كم من الوقت يستغرق وصول النقل,balance_transfer
لماذا الانترنت بطيء عندي اليوم من الصبح,slow_internet
حاب اعرف شو وضع الشبكه في منطقتي؟,network_status
بدي حل ل مع السلامهه في البيت,goodbye
ساعدني في التحويل,balance_transfer
من فضلك الانترنت يفصل كثير؟,network_complaint
بقدر اوقف المعامله؟,balance_transfer
بدي كم بقي من الجيجا في منطقتي,check_data_usage
حاب اعرف هل النت شغال علي خطي,network_status
اواجه باي باي من الصبح,goodbye
ممكن الابلاغ عن مشاكل في المحفظه اليوم,payment_issue
بدي اعرف مشكله في الدفع يوجد الشغل,payment_issue
الباقه في منطقتي,check_data_usage
ممكن ليش الانترنت بطيء عندي مع ان الاشاره كامله اليوم,slow_internet
قم بتسميه نوع من الزهور غالبا ما يستخدم في باقات,offer_inquiry
ممكن جددلي الباقه في الشغل,renew_package
لو سمحت هل الخدمه شغاله علي خطي؟,network_status
ليش الشبكه تختفي فجاه من الصبح هالفتره,no_signal
لو سمحت هل فيه عروض جديده للانترنت في منطقتي بسرعه,offer_inquiry
العروض والباقات المتوفره اليوم,offer_inquiry
بدي حل ل الي اللقاء بعد الشحن,goodbye
من فضلك اريد تحويل رصيد من الصبح؟,balance_transfer
قم بانشاء قايمه بجميع المدن المحتمله في الولايات المتحده التي تبدا بالحرف,other
لو سمحت لماذا ما في اشاره فجاه؟ من فضلك,no_signal
كم باقي من البيانات داخل المنزل؟ يوجد الشغل,check_data_usage
بدي اعرف شو وضع الشبكه في الشغل,network_status
اريد يوجد شكوي علي الشبكه يوجد منطقتي,network_complaint
قم بانشاء قصه مستخدم لتطبيق ويب يتيح للمستخدمين اداره جهات الاتصال الخاصه بهم,network_complaint
من فضلك ليس حاله الشبكه حاليا؟,network_status
ساعدني الشبكه سييه علي رقمي؟,network_complaint
ممكن تساعدني بخصوص تصبح علي خير بعد الشحن,goodbye
اريد الغاء خدمه معينه بسرعه,offer_inquiry
قم بانشاء سوال يمكن استخدامه في اختبار المعلومات التافهه,other
بدي تحويل الرصيد لا يعمل من مبارح,balance_transfer
ساعدني الخدمه ضعيفه,slow_internet
ممكن ليس في شبكه يوجد منطقتي؟,network_complaint
اريد لماذا لا يمكن الاتصال بي احيانا من فضلك,network_complaint
ممكن ليش الاتصال غير مستقر علي خطي لو سمحت,no_signal
لماذا الانترنت ضعيف او الفاتوره بسرعه,payment_issue
حاب اعرف مو حاله الشبكه فيه البيت,network_status
اريد وداعا لو سمحت,goodbye
لماذا لم ترصد اموال الحواله في حسابي حتي الان؟,balance_transfer
قدم مثالا علي استعاره تتعلق ب معرفه شخص ما,other
كيف يمكنني الاتصال بدعم العملاء بخصوص التحويل المرفوض؟,balance_transfer
حاب اعرف النت مش سريع علي خطي,slow_internet
تخيل انك عالق في البريه ضع قايمه بخمسه عناصر قد تحتاجها تماما للبقاء علي قيد الحياه,other
ذهبت لالقاء نظره علي تعبيه الرصيد وتم الغاوه ، هل يمكنك اخباري لماذا حدث هذا؟,payment_issue
اريد كم متبقي انترنت بسرعه,check_data_usage
الله يعطيك العافيه,feedback
اريد ليش النت بطيء لو سمحت,slow_internet
لو سمحت كيف اعرف الرصيد المتبقي علي خطي الان,check_data_usage
من فضلك كم باقي من البيانات اليوم؟,check_data_usage
بدي اعرف جددلي الباقه هالفتره؟,renew_package
ساعدني لماذا النت ضعيف وفض شبكه دايما الان,slow_internet
لو سمحت شوفي عروض او ميزات هالفتره,offer_inquiry
محتاج ما عم يلقط شبكه حاليا؟,no_signal
ساعدني ليش للنت ضعيف مع انو دافعين اليوم,slow_internet
اريد اعرف الشبكه ضعيفه والسرعه ضعيفه؟,slow_internet
كم باقي من البيانات علي رقمي,check_data_usage
محتاج بدي احول رصيد لرقم ثاني,balance_transfer
بدي مشكله في الدفع في منطقتي؟,payment_issue
سبب المشكله بسبب عام حاليا,technical_support
ساعدني مرحبا لو سمحت,greeting
حدد عدد السعرات الحراريه في كوب واحد من الارز البني المطبوخ,offer_inquiry
استفسار كيف اعرف استهلاك النت من الصبح؟ لو سمحت,check_data_usage
بدي ليش الانترنت بطيء؟ الان,slow_internet
تذكر التفاصيل من القصه التاليه ذات مره ، كانت هناك اميره تعيش في قلعه كبيره في قريه صغيره في احد الايام قررت ان تستكشف الريف وصادفت كوخا خفيا ، حيث قابلت رجلا عجوزا طيبا اعطاها صندوقا موسيقيا سحريا,other
بدي كم بقي من الجيجا حاليا؟,check_data_usage
في عندي وداعا من الصبح,goodbye
استفسار ببعتوا عرض معين وبنسال عنه تفاصيل الان,offer_inquiry
ماذا وضع الشبكه علي رقمي,network_status
حدد الاختلافات الرييسيه بين نظامي التشغيل  و,other
بدي ليش النت بطيء رغم وجود تغطيه بعد الشحن الان,slow_internet
احسب التكلفه الاجماليه ل  علب تفاح بسعر  دولار للصندوق,offer_inquiry
قم بتسميه النباتات الخمسه الاكثر تنوعا,other
اريد اعرف بدي اعرف المتبقي من الباقه علي رقمي,check_data_usage
ممكن ليش الباقه تخلص بسرعه مع ان الاشاره كامله من فضلك,check_data_usage
كم باقي من البيانات بعد الشحن؟ هالفتره,check_data_usage
ممكن تساعدني بخصوص مع السلامهه اليوم,goodbye
يولف هايكو شكل تقليدي من الشعر الياباني يحتوي علي استعاره واحده علي الاقل,other
بدي اعرف كيف افعل الباقه بعد الشحن في الشغل,renew_package
ممكن اريد تحويل رصيد من مبارح,balance_transfer
اريد لماذا الشبكه تختفي فجاه في البيت بسرعه,network_complaint
بدي ايش سبب ضعف الانترنت؟ بسرعه,slow_internet
هل الشبكه تعمل الان حاليا,network_complaint
ساعدني اريد تحويل رصيد علي خطي؟,balance_transfer
اريد ما حاله الشبكه علي خطي,network_status
قدم اقتراحا حول كيفيه خفض فاتوره الكهرباء للعميل,payment_issue
ساعدني لماذا الانترنت بطيء عندي هالفتره اليوم,slow_internet
لو سمحت عندي السلام عليكم من اسبوع,greeting
ممكن اعرف مو عم يلقط شبكه حاليا,network_complaint
انقطاع النت ضعيف هالفتره,slow_internet
لو سمحت مع السلامهه اليوم,goodbye
صمم قالب فاتوره باستخدام,payment_issue
ما حاله الشبكه,network_status
ممكن بدي اجدد الباقه حاليا؟,renew_package
الخدمه ضعيفه وقت الذروه,slow_internet
اواجه مع السلامهه بعد التجديد,goodbye
اعثر علي ارخص سعر لرحله ذهابا وايابا من سان فرانسيسكو  الي لوس انجلوس,offer_inquiry
بدي شو افضل باقه من الصبح,offer_inquiry
ساعدني التحميل بطيء علي خطي؟,slow_internet
كيف اجدد النت من مبارح,renew_package
ممكن ليش نت ضعيف اليوم,slow_internet
ممكن كيف احول رصيد اليوم,balance_transfer
بدي الشبكه سييه اليوم,network_complaint
حاب اعرف مو هي عروض الانترنت من الصبح,offer_inquiry
ما هو سعر السهم الحالي للشركه المعينه؟ شركه ابل,offer_inquiry
لو سمحت اريد احول رصيد لرقم ثاني علي خطي,balance_transfer
ممكن ما هي عروض الانترنت من مبارح,offer_inquiry
محتاج مشكله فيه الدفع في البيت,payment_issue
اريد مو التزمتو بسرعه الشبكه المحصول عليها لو سمحت,network_complaint
اريد معرفه استهلاك الانترنت في البيت,check_data_usage
حاب اعرف ما بقدر اتصل في منطقتي؟,no_signal
كيف اغير الباقه من الصبح من الصبح,renew_package
بدي ليس قدرت ادفع الفاتوره حاليا؟,payment_issue
ليش الانترنت ضعيف عندي يوجد البيت في الشغل,slow_internet
ممكن اعرف الشبكه مقطوعه علي خطي؟,network_complaint
ساعدني الشبكه غير مستقره اليوم,network_complaint
ساعدني ليس حاله الشبكه؟,network_status
انشي استعلاما لسحب البلدان العشره الاولي من حيث عدد السكان,other
اكتب مقالا من  كلمه حول موضوع مهارات الاتصال الفعال,network_complaint
اتوقع استرداد الاموال ولكن لا يمكنني رويتها,payment_issue
ممكن ليش الاتصال يقطع داخل المنزل؟ لو سمحت,no_signal
ما الفرق بين الشبكه العصبيه ونموذج التعلم العميق؟,network_complaint
بدي الانترنت يفصل كثير لو سمحت,network_complaint
لماذا لم يزداد رصيدي بعد ايداع شيكا؟,payment_issue
ممكن تحويل الرصيد لا يعمل من مبارح,balance_transfer
استفسار ليش ما في اشاره من كم يوم؟ الان,no_signal
بدي ليش النت بطيء رغم وجود تغطيه بعد الشحن الان,payment_issue
لو سمحت اسيله تتعلق في مده الباقه هل يوجد باقه مدتها اطول؟,offer_inquiry
ساعدني مع السلامهه من فضلك,goodbye
اريد كيف اعرف استهلاك الانترنت علي خطي هالفتره,check_data_usage
اريد كم باقي من الباقه في البيت بسرعه,check_data_usage
اذكر طريقتين لتقليل استهلاك المياه,check_data_usage
محتاج مساعده بخصوص اهلا في منطقتي,greeting
نادرا ما اتصل لكن بواجه مشاكل ضعف بالشبكه وحزم البيانات بشكل كبير من فضلك,network_complaint
محتاج كيف احول رصيد من الصبح؟,balance_transfer
في عندي باي من امس,goodbye
اعد ترتيب قايمه الكلمات التاليه لتكوين جمله صحيحه نحويا يدفع المومنين باستمرار استخراج منفصل ا من نحن,payment_issue
ممكن بدي اجدد الباقه يوجد الشغل,renew_package
اريد ليش الاتصال يقطع داخل المنزل؟ هالفتره,network_complaint
صف ما هي الفكره الرييسيه للمقتطف النصي التالي ذهب الرجل الي منزل والده القديم ووجد صندوقا من الرسايل,other
اواجه سلام من امس,goodbye
بدي اعرف اريد معرفه العروض من الصبح,offer_inquiry
قم بانشاء طريقه عرض لجدول قاعده البيانات التالي في  والتي توضح السعر الاجمالي لكل شخص اسم الجدول المشتريات   الاعمده الشخص ، العنصر ، الكميه ، السعر,offer_inquiry
ليش الرصيد انخصم اليوم,payment_issue
كيف اعرف استهلاك الانترنت هالفتره في الشغل,check_data_usage
بدي اعرف المتبقي من الباقه بعد الشحن,check_data_usage
محتاج شو وضع الشبكه من مبارح,network_status
التحميل بطيء من كم ساعه,slow_internet
ساعدني كيف اعرف الرصيد المتبقي من الصبح بسرعه,check_data_usage
اريد مشاكل تحويل الرصيد في الشغل,balance_transfer
ببعتوا عرض معين وبنسال عنه تفاصيل في منطقتي,offer_inquiry
لو سمحت اريد تفاصيل الاشتراك في البيت؟,offer_inquiry
ليش ما استقبل مكالمات هالفتره من مبارح,no_signal
حاب اعرف مع السلامه وقت الذروه,goodbye
ساعدني ليش الاتصال غير مستقر فيه منطقتي من فضلك,network_complaint
اريد في شكوي علي الشبكه يوجد البيت,network_complaint
حاب اعرف الشبكه تفصل في البيت؟,network_complaint
كم سعر التجوال في السعوديه؟,offer_inquiry
استفسار مشكله دفع هالفتره,payment_issue
كيف اشحن الرصيد,renew_package
ممكن شوفي عروض او ميزات الان,offer_inquiry
الشبكه غير مستقره اليوم,network_complaint
ممكن اعرف اريد تقديم شكوي علي رقمي,network_complaint
اريد اعرف كيف اجدد الشبكه فيه الشغل,network_complaint
ممكن اعرف الخدمه ضعيفه في الشغل؟,network_complaint
ليش النت بطيء رغم وجود تغطيه بعد الشحن اليوم,payment_issue
كيف اعرف استهلاك الانترنت مع ان الاشاره كامله يوجد منطقتي,check_data_usage
اريد كيف اجدد النت علي خطي,renew_package
لو سمحت عندي مرحبا,greeting
بدي احتاج دعم فني,technical_support
اوجد عدد اضلاع الشكل السداسي,other
ممكن هل فيه عروض جديده للانترنت من الصبح اليوم,offer_inquiry
الشبكه غير مستقره بعد الشحن,network_complaint
قايمه  انواع شايعه من نطاقات الانترنت ذات المستوي الاعلي,other
عندي وداعا اليوم,goodbye
كم سيمضي من الوقت قبل ان يتمكن الشخص الذي ارسلت الاموال اليه من رويتها؟,balance_transfer
ليش الشبكه تختفي فجاه مع ان الاشاره كامله حاليا,no_signal
لو سمحت الخدمه ضعيفه هالفتره,network_complaint
ساعدني كيف اغير الباقه؟,renew_package
قم بانشاء قايمه بخمسه اسيله بسيطه يمكن استخدامها لبدء محادثه قصيره,other
اشرح لماذا قد تكون هذه فكره سييه الحصول علي قرض لتغطيه تكاليف التعليم,network_complaint
قم بمحاذاه النصين النص ا هذا قرار مهم   النص ب انه قرار صعب للغايه,other
ساعدني ليش الشبكه ضعيفه هالفتره؟ هالفتره,slow_internet
قدم عنوانا للقصيده ذات مره كان منتصف الليل كييبا ، بينما كنت افكر ، ضعيفا ومرهقا,slow_internet
استفسار ليش ما في اشاره في منطقتي؟ الان,no_signal
ساعدني ليش النت بطيء في البيت؟ هالفتره,slow_internet
كيف اشتغل التجوال,offer_inquiry
اكتب خطاب مرجعي لطالب وظيفه حديث جون سميث   كان موظفا سابقا لدينا وغادر في ظروف جيده عمل كمندوب مبيعات في شركتنا وتضمنت مسوولياته الاساسيه تطوير وتنفيذ استراتيجيات لتعزيز المبيعات لديه مهارات اتصال وتنظيميه وشخصيه ممتازه,network_complaint
من فضلك بدي اعرف المتبقي من الباقه من مبارح؟,check_data_usage
اريد تفعيل باقه انترنت جديده,renew_package
ليش الانترنت يضل يفصل من مبارح,slow_internet
من فضلك كيف اجدد النت اليوم؟,renew_package
استفسار عندي مشكله تقنيه من فضلك,technical_support
كيف اعرف استهلاك الانترنت في البيت,check_data_usage
ساعدني مشاكل تحويل الرصيد في البيت,balance_transfer
ممكن تساعدني بخصوص يلا سلام من كم ساعه,goodbye
اواجه مرحباا من امس,greeting
الشبكه ضعيفه والسرعه ضعيفه من مبارح,slow_internet
اريد اعرف سرعه الشبكه ضعيفه فيه الشغل؟,slow_internet
ممكن اعرف في شكوي علي الشبكه علي خطي,network_complaint
ساعدني ليش الشحن ما تفعل بعد الشحن بسرعه,payment_issue
بدي محتاج مساعده تقنيه,technical_support
اريد في شكوي علي الشبكه في منطقتي؟,network_complaint
محتاج الشبكه تفصل اليوم,no_signal
